method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,0.468458,0.0,2,-inf,1.5458186880296978,3.6168321874883325,[],[1.5854503464203233],[],0.0
L0,0.463774,1.0,2,0.9326689952041529,0.3480854352257825,0.2281625327731683,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']","[0.047588625609121804, 1.6731]",[4.0],1.0
L0,0.0142547,2.0,2,0.9654997275990461,0.3153189374764363,0.12062003968691809,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.3885763775385669, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.40231e-08,2.0,2,0.9654997918377978,0.3153205047345767,0.12062003958209017,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858669371622767, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.36277e-11,2.0,2,0.9654997938600158,0.31532055409306475,0.12062003958198622,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858701860905653, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.35166e-14,2.0,2,0.9654997939237018,0.3153205556475376,0.12062003958198605,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.3885870288410782, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.34063e-17,2.0,2,0.9654997939257074,0.3153205556964935,0.1206200395819861,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702916332066, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.3296899999999999e-20,2.0,2,0.9654997939257706,0.3153205556980354,0.12062003958198614,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.3885870291734692, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.3188300000000001e-23,2.0,2,0.9654997939257726,0.3153205556980839,0.1206200395819861,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917378873, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.30838e-26,2.0,2,0.9654997939257726,0.3153205556980856,0.1206200395819862,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
