state;V*
frozenset({'on-table(b3)', 'clear(b2)', 'holding(b1)', 'on(b2,b3)'});-5
frozenset({'on-table(b1)', 'clear(b2)', 'holding(b3)', 'on(b2,b1)'});-5
frozenset({'on-table(b3)', 'clear(b1)', 'holding(b2)', 'on(b1,b3)'});-5
frozenset({'clear(b3)', 'clear(b2)', 'holding(b1)', 'on-table(b3)', 'on-table(b2)'});-3
frozenset({'on-table(b1)', 'on(b3,b1)', 'on(b2,b3)', 'clear(b2)', 'arm-empty()'});0
frozenset({'on-table(b1)', 'clear(b1)', 'clear(b3)', 'clear(b2)', 'on-table(b3)', 'arm-empty()', 'on-table(b2)'});-2
frozenset({'clear(b1)', 'clear(b2)', 'on-table(b3)', 'on(b1,b3)', 'arm-empty()', 'on-table(b2)'});-4
frozenset({'on(b3,b1)', 'on(b1,b2)', 'clear(b3)', 'arm-empty()', 'on-table(b2)'});0
frozenset({'clear(b1)', 'on(b1,b2)', 'on-table(b2)', 'holding(b3)'});-1
frozenset({'on-table(b1)', 'clear(b1)', 'clear(b3)', 'on-table(b3)', 'holding(b2)'});-3
frozenset({'on-table(b1)', 'clear(b3)', 'on(b2,b1)', 'on(b3,b2)', 'arm-empty()'});-6
frozenset({'on(b1,b2)', 'clear(b1)', 'clear(b3)', 'on-table(b3)', 'arm-empty()', 'on-table(b2)'});-2
frozenset({'on-table(b1)', 'clear(b3)', 'clear(b2)', 'on(b2,b1)', 'on-table(b3)', 'arm-empty()'});-4
frozenset({'on-table(b1)', 'on(b3,b1)', 'clear(b3)', 'clear(b2)', 'arm-empty()', 'on-table(b2)'});0
frozenset({'on-table(b1)', 'clear(b1)', 'clear(b2)', 'holding(b3)', 'on-table(b2)'});-1
frozenset({'clear(b2)', 'on(b2,b1)', 'on-table(b3)', 'on(b1,b3)', 'arm-empty()'});-6
frozenset({'on-table(b1)', 'on(b3,b1)', 'clear(b3)', 'holding(b2)'});0
frozenset({'holding(b1)', 'on-table(b2)', 'clear(b3)', 'on(b3,b2)'});-3
frozenset({'clear(b1)', 'on(b1,b3)', 'arm-empty()', 'on(b3,b2)', 'on-table(b2)'});-4
frozenset({'on-table(b1)', 'clear(b1)', 'on(b2,b3)', 'clear(b2)', 'on-table(b3)', 'arm-empty()'});-4
frozenset({'on(b1,b2)', 'clear(b1)', 'on(b2,b3)', 'on-table(b3)', 'arm-empty()'});-6
frozenset({'on-table(b1)', 'clear(b1)', 'clear(b3)', 'on(b3,b2)', 'arm-empty()', 'on-table(b2)'});-2
