method,parameter,total_features,score,features_names,feature_weights,feature_complexities
lasso,2.4512497076292066,2,-3.169633919048978e+31,[],[],[]
lasso,1.5095977473195672,2,-338136.26353959006,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-0.7532],[4.0]
lasso,0.9296830721160588,2,-147692.0986905231,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.217],[4.0]
lasso,0.5725436568210424,2,-107057.77653448601,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.5026],[4.0]
lasso,0.35259998681043986,2,-95102.29831612026,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.6868, -0.2085]","[4.0, 2.0]"
lasso,0.2171480710991139,2,-88482.5944816342,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8071, -0.5126]","[4.0, 2.0]"
lasso,0.1337302511228276,2,-83582.03325530568,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8812, -0.6998]","[4.0, 2.0]"
lasso,0.08235753591940385,2,-80494.22686691301,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.9268, -0.8151]","[4.0, 2.0]"
lasso,0.05071974116377088,2,-78605.30926783035,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.9549, -0.8862]","[4.0, 2.0]"
lasso,2.4512497076292066,13,-3.169633919048978e+31,[],[],[]
lasso,1.5095977473195672,13,-338136.26353959006,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-0.7532],[4.0]
lasso,0.9296830721160588,13,-147692.0986905231,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.217],[4.0]
lasso,0.5725436568210424,13,-107057.77653448601,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.5026],[4.0]
lasso,0.35259998681043986,13,-95102.29831612026,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.6868, -0.2085]","[4.0, 2.0]"
lasso,0.2171480710991139,13,-88482.5944816342,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8071, -0.5126]","[4.0, 2.0]"
lasso,0.1337302511228276,13,-83582.03325530568,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8812, -0.6998]","[4.0, 2.0]"
lasso,0.08235753591940385,13,-80494.22686691301,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.9268, -0.8151]","[4.0, 2.0]"
lasso,0.05071974116377088,13,-78605.30926783035,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.9549, -0.8862]","[4.0, 2.0]"
lasso,2.4512497076292066,24,-3.169633919048978e+31,[],[],[]
lasso,1.5095977473195672,24,-338136.26353959006,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-0.7532],[4.0]
lasso,0.9296830721160588,24,-147692.0986905231,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.217],[4.0]
lasso,0.5725436568210424,24,-107057.77653448601,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-1.5026],[4.0]
lasso,0.35259998681043986,24,-95102.29831612026,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.6868, -0.2085]","[4.0, 2.0]"
lasso,0.2171480710991139,24,-88482.5944816342,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8071, -0.5126]","[4.0, 2.0]"
lasso,0.1337302511228276,24,-83582.03325530568,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.8812, -0.6998]","[4.0, 2.0]"
lasso,0.08235753591940385,24,-80494.22686691301,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.9268, -0.8151]","[4.0, 2.0]"
lasso,0.05071974116377088,24,-78605.30926783035,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-1.9549, -0.8862]","[4.0, 2.0]"
