method,parameter,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
omp,1,2,0.9403329766743902,0.4672397792065113,0.3729786049631686,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))']",[-2.1445825595423678],[4.0],0
omp,2,2,1.0,5.201567508447391e-16,6.282994786909516e-31,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))']","[-2.0000000000000004, -0.9999999999999997]","[4.0, 2.0]",0
omp,1,13,-0.01414890506203359,2.0028354164547792,6.339445522039482,"['n_count(r_not(r_identity(c_primitive(clear,0))))']",[-0.05786073742522784],[4.0],0
omp,2,13,0.17422085824104827,1.8302630249217073,5.161945998548585,"['n_count(r_transitive_reflexive_closure(r_primitive(on,0,1)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-0.2815821334096749, 0.03268208362331531]","[3.0, 4.0]",0
omp,3,13,0.962003645555616,0.463790937549652,0.23751523847628797,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(r_transitive_reflexive_closure(r_primitive(on,0,1)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-2.002304109368597, 0.02592465976407871, -0.018222396540225495]","[4.0, 3.0, 4.0]",0
omp,4,13,1.0,1.12338436884754e-15,2.060162829156935e-30,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_transitive_reflexive_closure(r_primitive(on,0,1)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.9999999999999993, -1.0000000000000013, -3.961762961702798e-16, 1.2739060910385086e-16]","[4.0, 2.0, 3.0, 4.0]",0
omp,5,13,1.0,1.12338436884754e-15,2.060162829156935e-30,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_transitive_reflexive_closure(r_primitive(on,0,1)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.9999999999999993, -1.0000000000000013, -3.961762961702798e-16, 1.2739060910385086e-16]","[4.0, 2.0, 3.0, 4.0]",0
omp,6,13,1.0,1.12338436884754e-15,2.060162829156935e-30,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_transitive_reflexive_closure(r_primitive(on,0,1)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.9999999999999993, -1.0000000000000013, -3.961762961702798e-16, 1.2739060910385086e-16]","[4.0, 2.0, 3.0, 4.0]",0
omp,7,13,1.0,1.12338436884754e-15,2.060162829156935e-30,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_transitive_reflexive_closure(r_primitive(on,0,1)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.9999999999999993, -1.0000000000000013, -3.961762961702798e-16, 1.2739060910385086e-16]","[4.0, 2.0, 3.0, 4.0]",0
omp,8,13,1.0,1.12338436884754e-15,2.060162829156935e-30,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'n_count(c_primitive(holding,0))', 'n_count(r_transitive_reflexive_closure(r_primitive(on,0,1)))', 'n_count(r_not(r_identity(c_primitive(clear,0))))']","[-1.9999999999999993, -1.0000000000000013, -3.961762961702798e-16, 1.2739060910385086e-16]","[4.0, 2.0, 3.0, 4.0]",0
