method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,0.17717,0.0,5,-1.2552986687138987e+31,2.6166336072130156,9.902560441243772,[],[5.295769919427037],[],0.0
L0,0.175399,2.0,5,0.9306807328515229,0.6353672520842425,0.6418857156704919,"['F_1', 'F_3']","[1.842526020310932, 2.1821, 2.178]","[1.0, 1.0]",2.0
L0,0.0144219,3.0,5,0.969351207505025,0.5006609617743388,0.2944793442314185,"['F_1', 'F_3', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))']","[2.37945132271917, 1.9887, 1.9906, -2.0167]","[1.0, 1.0, 4.0]",3.0
L0,0.00869602,4.0,5,0.9885466450747464,0.15073691289174138,0.1121294156727179,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))']","[2.751889670949417, 2.0622, 2.0604, -0.8842, -1.8261]","[1.0, 1.0, 2.0, 4.0]",4.0
L0,0.00507249,5.0,5,0.9999999937176368,0.00020806767795393768,6.221261156795646e-08,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))', 'n_concept_distance(c_primitive(holding,0),r_primitive(on_g,0,1),c_primitive(clear,0))']","[2.999676198282423, 2.0002, 2.0001, -1.0, -1.9993, -1.9992]","[1.0, 1.0, 2.0, 4.0, 4.0]",5.0
L0,7.2109e-09,5.0,5,0.9999999999999896,2.663193708075128e-07,1.0346999389848453e-13,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))', 'n_concept_distance(c_primitive(holding,0),r_primitive(on_g,0,1),c_primitive(clear,0))']","[2.999999602087538, 2.0, 2.0, -1.0, -2.0, -2.0]","[1.0, 1.0, 2.0, 4.0, 4.0]",5.0
L0,1.28867e-14,5.0,5,0.9999999999999984,1.0282655201298094e-07,1.53546414256551e-14,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))', 'n_concept_distance(c_primitive(holding,0),r_primitive(on_g,0,1),c_primitive(clear,0))']","[2.9999998492353344, 2.0, 2.0, -1.0, -2.0, -2.0]","[1.0, 1.0, 2.0, 4.0, 4.0]",5.0
L0,1.90598e-15,5.0,5,0.9999999999999998,4.0038774276356324e-08,2.3351916058496585e-15,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))', 'n_concept_distance(c_primitive(holding,0),r_primitive(on_g,0,1),c_primitive(clear,0))']","[2.99999994182976, 2.0, 2.0, -1.0, -2.0, -2.0]","[1.0, 1.0, 2.0, 4.0, 4.0]",5.0
L0,2.77905e-16,5.0,5,1.0,1.5347112744676455e-08,3.4403246247543644e-16,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))', 'n_concept_distance(c_primitive(holding,0),r_primitive(on_g,0,1),c_primitive(clear,0))']","[2.9999999778066986, 2.0, 2.0, -1.0, -2.0, -2.0]","[1.0, 1.0, 2.0, 4.0, 4.0]",5.0
L0,4.24071e-17,5.0,5,1.0,5.776863292015821e-09,4.9689331711920594e-17,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))', 'n_concept_distance(c_primitive(holding,0),r_primitive(on_g,0,1),c_primitive(clear,0))']","[2.9999999910281923, 2.0, 2.0, -1.0, -2.0, -2.0]","[1.0, 1.0, 2.0, 4.0, 4.0]",5.0
L0,6.4576e-18,5.0,5,1.0,2.2181186605457945e-09,7.326784152040088e-18,"['F_1', 'F_3', 'b_empty(c_primitive(holding,0))', 'n_count(r_and(r_primitive(on,0,1),r_primitive(on_g,0,1)))', 'n_concept_distance(c_primitive(holding,0),r_primitive(on_g,0,1),c_primitive(clear,0))']","[2.9999999964328268, 2.0, 2.0, -1.0, -2.0, -2.0]","[1.0, 1.0, 2.0, 4.0, 4.0]",5.0
