method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,0.241384,0.0,5,-inf,1.6003787878787878,3.1916286443985302,[],[-1.8503787878787878],[],0.0
L0,0.23897,1.0,5,-0.07138733701159805,1.0962127098490733,1.6508117303571848,['F_1'],"[-1.2540792540792542, -3.1803]",[1.0],1.0
L0,0.181948,2.0,5,0.880684366965006,0.494827516743908,0.34018405655285167,"['F_1', 'F_3']","[-0.25012155949306725, -4.1842, -2.6103]","[1.0, 1.0]",2.0
L0,0.0219373,3.0,5,0.9476520619256819,0.3457346860593032,0.15876551105113604,"['F_1', 'F_3', 'F_4']","[-0.24993725555265667, -3.6172, -2.2704, -1.306]","[1.0, 1.0, 1.0]",3.0
L0,0.00634578,5.0,5,0.9999999860657308,0.00014747469492897938,4.447471654871571e-08,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[1.8470693967653773e-06, -1.0007, -3.0004, -0.9998, -1.9998, -0.9996]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.34999e-09,5.0,5,0.9999999999999847,1.6815319059855968e-07,4.902434670264854e-14,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.5769232626113876e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.76967e-15,5.0,5,0.9999999999999944,9.852171684369171e-08,1.7870750052243996e-14,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.8146416813635824e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.04639e-15,5.0,5,0.9999999999999972,7.724558908090041e-08,8.709965940368858e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-5.731225027894027e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,9.3005e-16,5.0,5,0.9999999999999987,5.503351698260718e-08,4.280796447798389e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.8388196904316487e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,3.87963e-16,5.0,5,0.9999999999999992,4.040485199449409e-08,2.448084904963108e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.540333959328734e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.15183e-16,5.0,5,0.9999999999999994,3.615016366809165e-08,1.6434180607465594e-15,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.603886728458349e-08, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
